id,facility_name,num,street,city,state,zip,municipal,category_cd,description,p_code,fdo,bus_st_date,seat_count,noroom,sq_feet,status,placard_st,x,y,address
10,Joe Winzek Catering Service,600,8th St,Glassport,PA,15045,Glassport,100,Caterer,1,1970-01-01,1970-01-01,0,,3000,1,1,-79.8882527533642,40.3225648224858,600 8th St Glassport PA 15045
17,Bell's Market,603,Braddock Avenue,Braddock,PA,15104,Braddock,113,Retail/Convenience Store,1,1984-06-17,1984-06-17,0,,1200,7,3,-79.8681388739464,40.4033480539573,603 Braddock Avenue Braddock PA 15104
59,Shadyside Market,5414,Walnut St,Pittsburgh,PA,15232,Pittsburgh-107,113,Retail/Convenience Store,1,1984-06-17,1984-06-17,0,,3700,1,1,-79.9349649369953,40.4506799743078,5414 Walnut St Pittsburgh PA 15232
110,Hamms Market,1239,Itin Street,Pittsburgh,PA,15212,Pittsburgh-124,115,Packaged Food Only,2,1984-06-17,1984-06-17,0,,225,1,1,-79.9908483191556,40.4623378204859,1239 Itin Street Pittsburgh PA 15212
118,Tom Friday's Market,3639,California Ave,Pittsburgh,PA,15212,Pittsburgh-127,113,Retail/Convenience Store,1,1984-06-17,1984-06-17,0,,1600,1,1,-80.0416296781875,40.481224403683,3639 California Ave Pittsburgh PA 15212
202,Mazzotta's Market,730,Broadway Ave,Mc Kees Rocks,PA,15136,Stowe,113,Retail/Convenience Store,1,1984-06-17,1984-06-17,0,,1000,7,1,-80.0743050005897,40.4730421525859,730 Broadway Ave Mc Kees Rocks PA 15136
213,The Strip District Meats,2123,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,113,Retail/Convenience Store,1,1970-01-01,1970-01-01,0,,1000,1,1,-79.9826924505849,40.4522862312475,2123 Penn Avenue Pittsburgh PA 15222
237,Bakers Dairy,7300,Hamilton Ave,Pittsburgh,PA,15208,Pittsburgh-113,113,Retail/Convenience Store,0,1980-01-01,1980-01-01,0,,1000,1,1,-79.8956442909866,40.4540165199681,7300 Hamilton Ave Pittsburgh PA 15208
253,Leonard Labriola Foods,121,Hulton Road,Verona,PA,15147,Penn Hills,112,Chain Supermarket,1,1969-04-01,1969-04-01,0,,4000,1,1,-79.8201127507331,40.484548731855,121 Hulton Road Verona PA 15147
259,Merante Bros,6,Marion St,Pittsburgh,PA,15219,Pittsburgh-101,113,Retail/Convenience Store,1,1984-06-17,1984-06-17,0,,500,7,1,-79.9842823953378,40.4381834562048,6 Marion St Pittsburgh PA 15219
262,Community Super Market,1117,Milltown Rd,Verona,PA,15147,Penn Hills,111,Supermarket,0,1970-01-01,1970-01-01,0,,40000,1,1,-79.7907203449821,40.4986513151729,1117 Milltown Rd Verona PA 15147
294,Podmilsak's Market,200,Herron Avenue,Cheswick,PA,15024,Harmar,113,Retail/Convenience Store,1,1950-01-01,1950-01-01,0,,1000,1,1,-79.8148782258063,40.5427426509598,200 Herron Avenue Cheswick PA 15024
352,Zoscak's Food Market,319,Ann St,Mc Keesport,PA,15132,McKeesport,111,Supermarket,1,1957-01-01,1957-01-01,0,,1311,7,1,-79.8748094839917,40.3506345751049,319 Ann St Mc Keesport PA 15132
365,Crossroads Service Center,4600,Homestead Duquesne Rd,West Mifflin,PA,15122,West Mifflin,114,Chain Retail/Convenience Store,1,1970-01-01,1970-01-01,0,,2000,7,1,-79.8943905901288,40.3763589650974,4600 Homestead Duquesne Rd West Mifflin PA 15122
389,Joes Butcher Shop,502,Broadway Avenue,Pitcairn,PA,15140,Pitcairn,113,Retail/Convenience Store,1,1976-04-01,1976-04-01,0,,2000,1,1,,,502 Broadway Avenue Pitcairn PA 15140
439,Evelyn Rohaly,4240,Lydia St,Pittsburgh,PA,15207,Pittsburgh-115,115,Packaged Food Only,2,1960-01-02,1960-01-02,0,,1000,7,1,-79.9417620960569,40.4220641326937,4240 Lydia St Pittsburgh PA 15207
498,Ann's Market,2316,Webster Ave,Pittsburgh,PA,15219,Pittsburgh-105,113,Retail/Convenience Store,0,1980-01-01,1980-01-01,0,,900,1,1,-79.9752285311131,40.4483306002878,2316 Webster Ave Pittsburgh PA 15219
551,Victoria's Dairy,1716,Lowrie Street,Pittsburgh,PA,15212,Pittsburgh-124,113,Retail/Convenience Store,1,1984-06-17,1984-06-17,0,,400,1,1,-79.9823365724066,40.4643698932638,1716 Lowrie Street Pittsburgh PA 15212
641,Ken's Grocery,216,Beltzhoover Ave,Pittsburgh,PA,15210,Pittsburgh-118,113,Retail/Convenience Store,1,1984-06-17,1984-06-17,0,,500,1,1,-79.9976217207189,40.420098988717,216 Beltzhoover Ave Pittsburgh PA 15210
703,Sil's,6000,Noblestown Road,Oakdale,PA,15071,Oakdale,113,Retail/Convenience Store,1,1992-04-08,1992-04-08,0,,1100,1,1,-80.1875304354142,40.3983729129275,6000 Noblestown Road Oakdale PA 15071
